manufacturer,antennaModel,height_ft,width_ft,height_m,width_m,notes
VALMONT/MICROFLECT,2430RF,24,30,7.32,9.14,
ALL MANUFACTURERS,3032RF,30,32,9.14,9.75,
ALL MANUFACTURERS,30X32 FT PASSIVE,30,32,9.14,9.75,
MICROFLECT,30-32,30,32,9.14,9.75,
MICROFLECT,3032RF,30,32,9.14,9.75,
VALMONT MICROFLECT,30X32 FT PASSIVE,30,32,9.14,9.75,
ALL MANUFACRURERS,3040RF,30,40,9.14,12.19,
ALL MANUFACTURERS,30 X 40 Passive,30,40,9.14,12.19,
ALL MANUFACTURERS,3040RF,30,40,9.14,12.19,
ALL MANUFACTURERS,30X40 FT PASSIVE,30,40,9.14,12.19,
ALL MANUFACTURES,30 X 40  Passive,30,40,9.14,12.19,
VALMONT STRUCTURES,3040-8,30,40,9.14,12.19,
ALL MANUFACTURERS,30X48 FT PASSIVE,30,48,9.14,14.63,
ALL MANUFACTURERES,40x50 FT PASSIVE,40,50,12.19,15.24,
ALL MANUFACTURERS,4050RF,40,50,12.19,15.24,
ALL MANUFACTURERS,40x50 FT PASSIVE,40,50,12.19,15.24,
ALL MANUFATURERS,4050RF,40,50,12.19,15.24,
