channelFrequency,channelBandwidth,Notes
6803.125,1.25,
6803.75,2.5,
6804.375,1.25,
6805,10,
6805.625,3.75,
6806.25,2.5,
6806.875,1.25,
6808.125,1.25,
6808.75,2.5,
6809.375,1.25,
6810,5,
6810.625,3.75,
6811.25,2.5,
6811.875,1.25,
6813.125,1.25,
6813.75,2.5,
6814.375,1.25,
6815,30,
6815.625,3.75,
6816.25,2.5,
6816.875,1.25,
6818.125,1.25,
6818.75,2.5,
6819.375,1.25,
6820,5,
6820.625,3.75,
6821.25,2.5,
6821.875,1.25,
6823.125,1.25,
6823.75,2.5,
6824.375,1.25,
6825,10,
6825.625,3.75,
6826.25,2.5,
6826.875,1.25,
6828.125,1.25,
6828.75,2.5,
6829.375,1.25,
6830,5,
6830.625,3.75,
6831.25,2.5,
6831.875,1.25,
6833.125,1.25,
6833.75,2.5,
6834.375,1.25,
6835,10,
6835.625,3.75,
6836.25,2.5,
6836.875,1.25,
6838.125,1.25,
6838.75,2.5,
6839.375,1.25,
6840,5,
6840.625,3.75,
6841.25,2.5,
6841.875,1.25,
6843.125,1.25,
6843.75,2.5,
6844.375,1.25,
6845,30,
6845.625,3.75,
6846.25,2.5,
6846.875,1.25,
6848.125,1.25,
6848.75,2.5,
6849.375,1.25,
6850,5,
6850.625,3.75,
6851.25,2.5,
6851.875,1.25,
6853.125,1.25,
6853.75,2.5,
6854.375,1.25,
6855,10,
6855.625,3.75,
6856.25,2.5,
6856.875,1.25,
6858.125,1.25,
6858.75,2.5,
6859.375,1.25,
6860,5,
6860.625,3.75,
6861.25,2.5,
6861.875,1.25,
6863.125,1.25,
6863.75,2.5,
6864.375,1.25,
6865,10,
6865.625,3.75,
6866.25,2.5,
6866.875,1.25,
6868.125,1.25,
6868.75,2.5,
6869.375,1.25,
6870.225,0.4,
6870.425,0.8,
6870.625,1.25,
6871.05,0.4,
6871.25,2.5,
6871.45,0.4,
6871.875,1.25,
6872.075,0.8,
6872.275,0.4,
6872.725,0.4,
6872.925,0.8,
6873.125,1.25,
6873.55,0.4,
6873.75,2.5,
6873.95,0.4,
6874.375,1.25,
6874.575,0.8,
6874.775,0.4,
