manufacturer,antennaModel,standardModel,diameter_ft,diameter_m,gain_dBi,notes
RFS,DA6-59,DA659,6,1.83,39,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,DA6-59A,DA659A,6,1.83,39,Comsearch's Frequency Coordination Database
RFS,DA6-59A,DA659A,6,1.83,39,Comsearch's Frequency Coordination Database
RFS,DA6-59AC,DA659AC,6,1.83,39,Comsearch's Frequency Coordination Database
RFS,DA6-59B,DA659B,6,1.83,39,https://alliancecorporation.ca/images/documents/wireless-infrastructure-documents/RFS/Microwave_antennas/Alliance_distributor_RFS_Microwave_Antenna_DA6-59BC.pdf
CABLEWAVE SYSTEMS,DA6-59W.A,DA659WA,6,1.83,39.3,Comsearch's Frequency Coordination Database
RFS,DA6-59WW,DA659WW,6,1.83,39.3,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,DA6-65,DA665,6,1.83,39.9,Comsearch's Frequency Coordination Database
RFS,DA6-65,DA665,6,1.83,39.9,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,DA6 65A,DA665A,6,1.83,39.8,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,DA6-65A,DA665A,6,1.83,39.8,Comsearch's Frequency Coordination Database
RFS,DA6-65A,DA665A,6,1.83,39.8,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,DA6-65AC,DA665AC,6,1.83,39.8,Comsearch's Frequency Coordination Database
RFS,DA6-65B,DA665B,6,1.83,39.8,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,DA6-65D,DA665D,6,1.83,39.8,Comsearch's Frequency Coordination Database
RFS/Cablewave,DA6W57,DA6W57,6,1.83,39,https://www.rfsworld.com/pim/product/html/DA6-W57BC
RFS,DA6-W578,DA6W578,6,1.83,39,https://www.rfsworld.com/pim/product/html/DA6-W57BC
RFS,DA6-W57A,DA6W57A,6,1.83,39,https://www.rfsworld.com/pim/product/html/DA6-W57BC
RFS,DA6-W57B,DA6W57B,6,1.83,39,https://www.rfsworld.com/pim/product/html/DA6-W57BC
CABLEWAVE SYSTEMS,DA8-59,DA859,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
RFS,DA8-59,DA859,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
CABLEWAVE SYSTEMS,DA8-59A,DA859A,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
RFS,DA8-59A,DA859A,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
CABLEWAVE SYSTEMS,DA8-59AC,DA859AC,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
CABLEWAVE,DA8-59E,DA859E,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
CABLEWAVE SYSTEMS,DA8-59WAC,DA859WAC,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
RFS,DA8-59WAC,DA859WAC,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
RFS,DA8-59WW,DA859WW,8,2.44,41.6,https://www.rfsworld.com/pim/product/html/DA8-59AC
CABLEWAVE SYSTEMS,DA8 65,DA865,8,2.44,42.3,https://www.rfsworld.com/pim/product/html/DA8-65AC
CABLEWAVE SYSTEMS,DA8-65,DA865,8,2.44,42.3,https://www.rfsworld.com/pim/product/html/DA8-65AC
RFS,DA8-65,DA865,8,2.44,42.3,https://www.rfsworld.com/pim/product/html/DA8-65AC
RFS,DA8?65A,DA865A,8,2.44,42.3,https://www.rfsworld.com/pim/product/html/DA8-65AC
RFS,DA8-65A,DA865A,8,2.44,42.3,https://www.rfsworld.com/pim/product/html/DA8-65AC
